year,category,monthly_income_2025_dollars,source_name,source_url,source_note,series_type
1985,Total,8270,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
1985,Total excluding work earnings,5020,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
1990,Social Security,1620,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
1990,Pension / retirement accounts,2000,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1990,Earnings from work,3450,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1990,Asset income,1300,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1990,Total,8370,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
1990,Total excluding work earnings,4920,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
1995,Social Security,1700,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
1995,Pension / retirement accounts,2150,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1995,Earnings from work,3650,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1995,Asset income,1150,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1995,Total,8650,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
1995,Total excluding work earnings,5000,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
2000,Social Security,1760,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
2000,Pension / retirement accounts,2350,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2000,Earnings from work,3950,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2000,Asset income,1450,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2000,Total,9510,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
2000,Total excluding work earnings,5560,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
2005,Social Security,1820,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
2005,Pension / retirement accounts,2450,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2005,Earnings from work,4100,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2005,Asset income,1100,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2005,Total,9470,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
2005,Total excluding work earnings,5370,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
2010,Social Security,1870,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
2010,Pension / retirement accounts,2350,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2010,Earnings from work,4050,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2010,Asset income,600,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2010,Total,8870,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
2010,Total excluding work earnings,4820,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
2015,Social Security,1910,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
2015,Pension / retirement accounts,2500,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2015,Earnings from work,4300,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2015,Asset income,525,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2015,Total,9235,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
2015,Total excluding work earnings,4935,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
2020,Social Security,1940,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
2020,Pension / retirement accounts,2600,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2020,Earnings from work,4650,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2020,Asset income,600,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2020,Total,9790,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
2020,Total excluding work earnings,5140,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
2025,Social Security,1976,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
2025,Pension / retirement accounts,2700,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2025,Earnings from work,5000,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2025,Asset income,950,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
2025,Total,10626,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
2025,Total excluding work earnings,5626,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
