category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes,B6_category
Fences-Walls-Gates,Renovation,Wooden Perimeter Fence,Repeating,5000.0,Allow,1,Allow,5,3:06,Source page: 158,Other
Fences-Walls-Gates,Metal,Pool Area Metal Rail Fence-Gate,Repeating,75.0,$/LF,200,LF,25,10:06,Source page: 129,Other
Landscape,Concrete,Landscape Border Blocks,Repeating,1000.0,Allow,1,Allow,3,0:06,Source page: 115,Other
Landscape,Renovation,Landscape Replenishment,Repeating,2500.0,Allow,1,Allow,3,0:06,Source page: 116,Other
Landscape,Fire Safety,"Landscaping, Wildfire Defensible Space",Repeating,10000.0,Allow,1,Allow,1,0:06,Source page: Board Plan,Other
Landscape,Fire Safety,Tree Removal-Major Trimming,Repeating,8000.0,Allow,1,Allow,1,0:06,Source page: 151,Other
Landscape,Fire Safety,Tree Removal-Major Trimming,One Time,7000.0,Allow,1,Allow,1,0:06,Source page: 151,Other
Landscape,Renovation,Landscape Rock,Repeating,2500.0,Allow,1,Allow,8,5:06,Source page: 117,Other
Plumbing,Sanitation,"Sewer Inspection, Semi-annual Inspection",Repeating,4097.0,Allow,1,Allow,2,0:06,Source page: Board Plan,Other
Plumbing,Sanitation,Sewer Lateral Lines-Cleanouts,Repeating,5000.0,Allow,1,Allow,2,0:06,Source page: 146,Other
Plumbing,Inspection,Water Valve and Line Annual Inspection,Repeating,1756.0,Allow,1,Allow,2,0:06,Source page: Board Plan,Other
Signage,Numbers,Building Signs/Numbers,Repeating,2000.0,Allow,1,Allow,5,0:06,Source page: 65,Other
Signage,Monument,Monument Sign/Wall,Repeating,2000.0,Allow,1,Allow,20,2:06,Source page: 123,Other
Signage,Misc,Misc and Parking Signs,Repeating,1000.0,Allow,1,Allow,10,3:06,Source page: 122,Other
Structural,Renovation,Trash Enclosures,Repeating,7500.0,Allow,1,Allow,5,0:06,Source page: 150,Other
Painting,Exterior,Painting Building 2,Repeating,3.0,$/SF,11539,SF,10,0:06,Source page: 124,Painting
Painting,Exterior,Painting Building 3,Repeating,3.0,$/SF,11213,SF,10,0:06,Source page: 124,Painting
Painting,Exterior,Painting Building 4,Repeating,3.0,$/SF,15029,SF,10,0:06,Source page: 124,Painting
Painting,Exterior,Painting Building 6,Repeating,3.0,$/SF,11948,SF,10,0:06,Source page: 124,Painting
Painting,Exterior,Painting Building 7,Repeating,3.0,$/SF,11948,SF,10,0:06,Source page: 124,Painting
Painting,Parking,Parking Striping-Curb Painting,Repeating,5000.0,Allow,1,Allow,3,0:06,Source page: 125,Painting
Painting,Exterior,Painting Building 1,Repeating,3.0,$/SF,11539,SF,10,1:06,Source page: 124,Painting
Painting,Exterior,Painting Building 13,Repeating,3.0,$/SF,11799,SF,10,1:06,Source page: 124,Painting
Painting,Exterior,Painting Building 8,Repeating,3.0,$/SF,14409,SF,10,1:06,Source page: 124,Painting
Painting,Exterior,Painting Building 10,Repeating,3.0,$/SF,11799,SF,10,2:06,Source page: 124,Painting
Painting,Exterior,Painting Building 11,Repeating,3.0,$/SF,7886,SF,10,2:06,Source page: 124,Painting
Painting,Exterior,Painting Building 12,Repeating,3.0,$/SF,11799,SF,10,2:06,Source page: 124,Painting
Painting,Exterior,Painting Building 9,Repeating,3.0,$/SF,7886,SF,10,2:06,Source page: 124,Painting
Painting,Exterior,Painting Buidling 14,Repeating,3.0,$/SF,4580,SF,10,4:06,Source page: 124,Painting
Painting,Exterior Metal,Pool Area Metal Rail Fence-Gate-Painting,Repeating,15.0,$/LF,200,LF,10,8:06,Source page: 130,Painting
Painting,Exterior,Painting Building 5,Repeating,4.0,$/SF,14409,SF,10,9:06,Source page: 124,Painting
Painting,Interior,Clubhouse Interior Painting,Repeating,1.75,$/SF,20000,SF,12,10:06,Source page: 90,Painting
Asphalt,Crack Repair,Asphalt Crack Seal,One Time,50000.0,Allow,1,Allow,3,0:06,Source page: 59,Paving
Asphalt,Crack Repair,Asphalt Crack Seal,One Time,25000.0,Allow,1,Allow,3,4:06,Source page: 59,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60,Paving
Asphalt,Crack Repair,Asphalt Crack Seal,Repeating,25000.0,Allow,1,Allow,3,12:06,Source page: 59,Paving
Asphalt,Top Coat,Asphalt Seal Coat,One Time,0.4,$/SF,100000,SF,5,14:06,Source page: 62,Paving
Asphalt,Top Coat,Asphalt Seal Coat,One Time,0.4,$/SF,100000,SF,5,19:06,Source page: 62,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,25:06,Source page: 61,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,26:06,Source page: 61,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,27:06,Source page: 61,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,28:06,Source page: 61,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,29:06,Source page: 61,Paving
Asphalt,Top Coat,Asphalt Seal Coat,Repeating,0.4,$/SF,100000,SF,5,30:06,Source page: 62,Paving
Concrete,Pool,Pool Area Concrete Deck,Repeating,12.0,$/SF,1592,SF,25,18:06,Source page: 128,Pool
Equipment,Pool,Pool Cover,Repeating,4.0,$/SF,720,SF,12,2:06,Source page: 136,Pool
Equipment,Pool,Pool Heater Raypak,Repeating,3000.0,Each,1,Each,15,2:06,Source page: 138,Pool
Equipment,Pool,Pool Misc Pipes Valves,Repeating,1500.0,Allow,1,Allow,7,4:06,Source page: 139,Pool
Equipment,Pool,Pool Filter Hayward,Repeating,1300.0,Each,1,Each,15,5:06,Source page: 137,Pool
Equipment,Pool,Pool Rails-Ladder,Repeating,250.0,Each,3,Each,15,5:06,Source page: 141,Pool
Equipment,Pool,Pool Room Compressor,Repeating,500.0,Each,1,Each,15,5:06,Source page: 143,Pool
Equipment,Pool,Pool Pump Hayward,Repeating,750.0,Each,1,Each,15,6:06,Source page: 140,Pool
Equipment,Pool,Pool Chemical Controller-Rola Chem,Repeating,2500.0,Job,1,Job,15,10:06,Source page: 134,Pool
Exterior Surfaces,Pool,Pool Coping,Repeating,35.0,$/LF,120,LF,20,10:06,Source page: 135,Pool
Flooring,Tile,Pool Area Tile Exterior,Repeating,16.0,$/SF,400,SF,20,8:06,Source page: 131,Pool
Renovation,Plaster,Pool Resurface,Repeating,12.0,$/SF,1200,SF,15,13:06,Source page: 142,Pool
Balconies-Decks-Stairways,Railings,Adding Walkway Railing,Repeating,21000.0,One Time,1,Allow,30,0:06,Source page: Maint Com Plan,Sidewalks
Balconies-Decks-Stairways,Railings,Walkway Railing,Repeating,3000.0,Allow,1,Allow,8,2:06,Source page: 154,Sidewalks
Concrete,Major Repairs,Concrete Sidewalks-Stairs-Patios/Grinding-Repairs,Repeating,10000.0,Allow,1,Allow,3,0:06,Source page: 102,Sidewalks
Concrete,Major Repairs,Curbs-Gutters,Repeating,5000.0,Allow,1,Allow,3,0:06,Source page: 104,Sidewalks
Exterior Surfaces,Siding,Stucco Siding Repair,Repeating,10000.0,Allow,1,Allow,7,3:06,Source page: 149,Siding
Exterior Surfaces,Siding,Clubhouse Siding,Repeating,12.0,$/SF,7500,SF,30,5:06,Source page: 94,Siding
Exterior Surfaces,Siding,Corrugated Balcony Walls,Repeating,5000.0,Allow,1,Allow,10,7:06,Source page: 103,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,10:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,11:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,12:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,13:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,14:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,15:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,16:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,17:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,18:06,Source page: 157,Siding
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,19:06,Source page: 157,Siding
Roofing,Inspection,Roof Inspection and Repair,One Time,17000.0,Allow,1,Allow,2,0:06,Source page: Board Plan,Sloped Roofs
Roofing,Shingle,Clubhouse Roof,Repeating,12.0,$/SF,4500,SF,25,9:06,Source page: 93,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,10:06,Source page: 152,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,11:06,Source page: 152,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,12:06,Source page: 152,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,13:06,Source page: 152,Sloped Roofs
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,14:06,Source page: 152,Sloped Roofs
Balconies-Decks-Stairways,Structural,Metal Stairway Flashing/Stringers,Repeating,15000.0,Allow,1,Allow,7,0:06,Source page: 121,Stairways
