category,subcategory,component,B6_category,cost_units,quantity,method,cost,quantity_units,useful_life,remaining_useful_life,notes
Chimney Chases,Structural,Chimney Chase Flashing & Siding Repairs,Chimney Chases,Allow,1,One Time,25053.39,Allow,30,23:06,"Extracted from '30 Year' row 56, 2049; scheduled amount $50,181.23"
Chimney Chases,Structural,"Chimney Chase Flashing & Siding Repairs, 13 Bldgs",Chimney Chases,Allow,1,One Time,17572.02,Allow,30,0:07,"Extracted from '30 Year' row 56, Aug 2026; scheduled amount $17,877.63"
Chimney Chases,Structural,"Chimney Chase Flashing & Siding Repairs, 13 Bldgs",Chimney Chases,Allow,1,One Time,17528.79,Allow,30,0:08,"Extracted from '30 Year' row 56, Sep 2026; scheduled amount $17,877.63"
Chimney Chases,Structural,"Chimney Chase Flashing & Siding Repairs, 13 Bldgs",Chimney Chases,Allow,1,One Time,18185.09,Allow,30,0:09,"Extracted from '30 Year' row 56, Oct 2026; scheduled amount $18,592.74"
Roofing,Elastomeric,"Garage, Replace Roof membrane, PVC",Garage Roofs,Allow,1,One Time,93526.05,Allow,30,24:06,"Extracted from '30 Year' row 58, 2050; scheduled amount $192,949.92"
Roofing,Elastomeric,"Garage, Replace Roof membrane, PVC",Garage Roofs,Allow,1,One Time,94059.03,Allow,30,25:06,"Extracted from '30 Year' row 58, 2051; scheduled amount $199,870.98"
Roofing,Elastomeric,"Garage, Replace Roof membrane, PVC",Garage Roofs,Allow,1,One Time,84084.49,Allow,30,26:06,"Extracted from '30 Year' row 58, 2052; scheduled amount $184,035.82"
Fences-Walls-Gates,Metal,Guardrails on the patio area next to the pool,Other,Allow,1,One Time,17361.5,Allow,30,0:06,"Extracted from '30 Year' row 64, Jul 2026; scheduled amount $17,620.00"
Gutters,Drainage,"Gutter Guards, Install",Gutters,Allow,1,One Time,71069.09,Allow,30,25:06,"Extracted from '30 Year' row 60, 2051; scheduled amount $151,018.44"
Gutters,Drainage,"Gutter Guards, Install",Gutters,Allow,1,One Time,71474.1,Allow,30,26:06,"Extracted from '30 Year' row 60, 2052; scheduled amount $156,435.43"
Gutters,Drainage,"Gutter work, Bldg 13",Gutters,Allow,1,One Time,24633.23,Allow,30,0:06,"Extracted from '30 Year' row 72, Jul 2026; scheduled amount $25,000.00"
Gutters,Drainage,"Gutters, Install on all horizontal roof edges",Gutters,Allow,1,One Time,61875.78,Allow,30,24:06,"Extracted from '30 Year' row 61, 2050; scheduled amount $127,653.50"
Gutters,Drainage,"Gutters, Install on all horizontal roof edges",Gutters,Allow,1,One Time,72491.71,Allow,30,25:06,"Extracted from '30 Year' row 61, 2051; scheduled amount $154,041.44"
Gutters,Drainage,"Gutters, Install on all horizontal roof edges",Gutters,Allow,1,One Time,72904.83,Allow,30,26:06,"Extracted from '30 Year' row 61, 2052; scheduled amount $159,566.87"
Landscape,Renovation,Landscaping,Landscaping,Allow,1,One Time,9589.9,Allow,30,1:05,"Extracted from '30 Year' row 55, Jun 2027; scheduled amount $10,000.00"
Landscape,Fire Safety,"Landscaping, Wildfire Defensible Space",Landscaping,Allow,1,One Time,9901.95,Allow,30,0:04,"Extracted from '30 Year' row 55, May 2026; scheduled amount $10,000.00"
Painting,Exterior,Paint 4 Building Exteriors,Painting,Allow,1,One Time,140789.85,Allow,30,1:05,"Extracted from '30 Year' row 62, Jun 2027; scheduled amount $146,810.60"
Painting,Exterior,Paint 4 Building Exteriors,Painting,Allow,1,One Time,141941.38,Allow,30,2:04,"Extracted from '30 Year' row 62, May 2028; scheduled amount $152,076.66"
Painting,Exterior,Paint 4 Full Buildings and Trim on 2 Stucco Buildings,Painting,Allow,1,One Time,184745.57,Allow,30,0:05,"Extracted from '30 Year' row 62, Jun 2026; scheduled amount $187,035.00"
Painting,Exterior,Paint for Building Exteriors,Painting,Allow,1,One Time,128875.34,Allow,30,13:06,"Extracted from '30 Year' row 62, 2039; scheduled amount $192,075.67"
Painting,Exterior,Paint for Building Exteriors,Painting,Allow,1,One Time,129609.77,Allow,30,14:06,"Extracted from '30 Year' row 62, 2040; scheduled amount $198,965.38"
Painting,Exterior,Paint for Building Exteriors,Painting,Allow,1,One Time,130348.39,Allow,30,15:06,"Extracted from '30 Year' row 62, 2041; scheduled amount $206,102.21"
Painting,Exterior,Paint for Building Exteriors,Painting,Allow,1,One Time,32772.8,Allow,30,16:06,"Extracted from '30 Year' row 62, 2042; scheduled amount $53,373.76"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5318.56,Allow,30,10:06,"Extracted from '30 Year' row 63, 2036; scheduled amount $7,254.12"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5348.87,Allow,30,11:06,"Extracted from '30 Year' row 63, 2037; scheduled amount $7,514.33"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5379.35,Allow,30,12:06,"Extracted from '30 Year' row 63, 2038; scheduled amount $7,783.86"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5410.01,Allow,30,13:06,"Extracted from '30 Year' row 63, 2039; scheduled amount $8,063.07"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5440.84,Allow,30,14:06,"Extracted from '30 Year' row 63, 2040; scheduled amount $8,352.29"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5471.84,Allow,30,15:06,"Extracted from '30 Year' row 63, 2041; scheduled amount $8,651.88"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5503.03,Allow,30,16:06,"Extracted from '30 Year' row 63, 2042; scheduled amount $8,962.22"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5534.39,Allow,30,17:06,"Extracted from '30 Year' row 63, 2043; scheduled amount $9,283.70"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5565.93,Allow,30,18:06,"Extracted from '30 Year' row 63, 2044; scheduled amount $9,616.70"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5597.65,Allow,30,19:06,"Extracted from '30 Year' row 63, 2045; scheduled amount $9,961.65"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5629.54,Allow,30,20:06,"Extracted from '30 Year' row 63, 2046; scheduled amount $10,318.97"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5661.63,Allow,30,21:06,"Extracted from '30 Year' row 63, 2047; scheduled amount $10,689.11"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5693.89,Allow,30,22:06,"Extracted from '30 Year' row 63, 2048; scheduled amount $11,072.53"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5726.34,Allow,30,23:06,"Extracted from '30 Year' row 63, 2049; scheduled amount $11,469.69"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5758.97,Allow,30,24:06,"Extracted from '30 Year' row 63, 2050; scheduled amount $11,881.11"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5791.79,Allow,30,25:06,"Extracted from '30 Year' row 63, 2051; scheduled amount $12,307.28"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5824.8,Allow,30,26:06,"Extracted from '30 Year' row 63, 2052; scheduled amount $12,748.74"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5857.99,Allow,30,27:06,"Extracted from '30 Year' row 63, 2053; scheduled amount $13,206.03"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5891.37,Allow,30,28:06,"Extracted from '30 Year' row 63, 2054; scheduled amount $13,679.73"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5924.95,Allow,30,29:06,"Extracted from '30 Year' row 63, 2055; scheduled amount $14,170.42"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5057.21,Allow,30,2:08,"Extracted from '30 Year' row 63, Sep 2028; scheduled amount $5,471.97"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5958.71,Allow,30,30:06,"Extracted from '30 Year' row 63, 2056; scheduled amount $14,678.71"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5140.28,Allow,30,4:06,"Extracted from '30 Year' row 63, 2030; scheduled amount $5,871.57"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5169.57,Allow,30,5:06,"Extracted from '30 Year' row 63, 2031; scheduled amount $6,082.18"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5199.03,Allow,30,6:06,"Extracted from '30 Year' row 63, 2032; scheduled amount $6,300.35"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5228.66,Allow,30,7:06,"Extracted from '30 Year' row 63, 2033; scheduled amount $6,526.34"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5258.46,Allow,30,8:06,"Extracted from '30 Year' row 63, 2034; scheduled amount $6,760.44"
Painting,Parking,"Parking Lots, Restripe",Painting,Allow,1,One Time,5288.42,Allow,30,9:06,"Extracted from '30 Year' row 63, 2035; scheduled amount $7,002.93"
Renovation,Plaster,Pool Repair and Plaster Resurface,Pool,Allow,1,One Time,25410.41,Allow,30,17:06,"Extracted from '30 Year' row 64, 2043; scheduled amount $42,624.87"
Doors-Windows,Renovation,Raise or Replace windows in Apt Bldgs.,Other,Allow,1,One Time,8283.37,Allow,30,1:04,"Extracted from '30 Year' row 81, May 2027; scheduled amount $8,616.35"
Doors-Windows,Renovation,Raise or Replace windows in Apt Bldgs.,Other,Allow,1,One Time,26806.33,Allow,30,9:06,"Extracted from '30 Year' row 81, 2035; scheduled amount $35,496.95"
Fences-Walls-Gates,Concrete,Repair retaining wall by building 4,Other,Allow,1,One Time,9971.55,Allow,30,0:08,"Extracted from '30 Year' row 66, Sep 2026; scheduled amount $10,170.00"
Roofing,Skylights,Replace/Repair Skylights,Sloped Roofs,Allow,1,One Time,5710.68,Allow,30,0:07,"Extracted from '30 Year' row 65, Aug 2026; scheduled amount $5,810.00"
Fences-Walls-Gates,Concrete,"Retaining Wall, Repair (Bldgs#3,4,10)",Other,Allow,1,One Time,11885.71,Allow,30,1:03,"Extracted from '30 Year' row 67, Apr 2027; scheduled amount $12,333.08"
Fences-Walls-Gates,Concrete,"Retaining Wall, Replace (Bldgs #1, & #7 west side, only)",Other,Allow,1,One Time,23316.56,Allow,30,1:04,"Extracted from '30 Year' row 66, May 2027; scheduled amount $24,253.85"
Exterior Surfaces,Roofing,"Roof Flashing Repairs, 13 Buildings",Facia-Flashing-Soffits,Allow,1,One Time,18207.62,Allow,30,0:07,"Extracted from '30 Year' row 57, Aug 2026; scheduled amount $18,524.29"
Exterior Surfaces,Roofing,"Roof Flashing Repairs, 13 Buildings",Facia-Flashing-Soffits,Allow,1,One Time,22703.53,Allow,30,0:08,"Extracted from '30 Year' row 57, Sep 2026; scheduled amount $23,155.36"
Exterior Surfaces,Roofing,"Roof Flashing Repairs, 13 Buildings",Facia-Flashing-Soffits,Allow,1,One Time,22647.67,Allow,30,0:09,"Extracted from '30 Year' row 57, Oct 2026; scheduled amount $23,155.36"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,14711.22,Allow,30,0:09,"Extracted from '30 Year' row 70, Oct 2026; scheduled amount $15,041.00"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15110.64,Allow,30,10:06,"Extracted from '30 Year' row 70, 2036; scheduled amount $20,609.80"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15139.98,Allow,30,11:06,"Extracted from '30 Year' row 70, 2037; scheduled amount $21,269.31"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15169.38,Allow,30,12:06,"Extracted from '30 Year' row 70, 2038; scheduled amount $21,949.93"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15198.83,Allow,30,13:06,"Extracted from '30 Year' row 70, 2039; scheduled amount $22,652.32"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15228.35,Allow,30,14:06,"Extracted from '30 Year' row 70, 2040; scheduled amount $23,377.20"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15257.91,Allow,30,15:06,"Extracted from '30 Year' row 70, 2041; scheduled amount $24,125.27"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15287.54,Allow,30,16:06,"Extracted from '30 Year' row 70, 2042; scheduled amount $24,897.28"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15317.23,Allow,30,17:06,"Extracted from '30 Year' row 70, 2043; scheduled amount $25,693.99"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15346.97,Allow,30,18:06,"Extracted from '30 Year' row 70, 2044; scheduled amount $26,516.20"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15376.77,Allow,30,19:06,"Extracted from '30 Year' row 70, 2045; scheduled amount $27,364.72"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,14959.25,Allow,30,1:03,"Extracted from '30 Year' row 70, Apr 2027; scheduled amount $15,522.31"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15406.63,Allow,30,20:06,"Extracted from '30 Year' row 70, 2046; scheduled amount $28,240.39"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15436.54,Allow,30,21:06,"Extracted from '30 Year' row 70, 2047; scheduled amount $29,144.08"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15466.52,Allow,30,22:06,"Extracted from '30 Year' row 70, 2048; scheduled amount $30,076.69"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15496.55,Allow,30,23:06,"Extracted from '30 Year' row 70, 2049; scheduled amount $31,039.14"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15526.64,Allow,30,24:06,"Extracted from '30 Year' row 70, 2050; scheduled amount $32,032.40"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15556.79,Allow,30,25:06,"Extracted from '30 Year' row 70, 2051; scheduled amount $33,057.43"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15586.99,Allow,30,26:06,"Extracted from '30 Year' row 70, 2052; scheduled amount $34,115.27"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15617.26,Allow,30,27:06,"Extracted from '30 Year' row 70, 2053; scheduled amount $35,206.96"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15647.59,Allow,30,28:06,"Extracted from '30 Year' row 70, 2054; scheduled amount $36,333.58"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15677.97,Allow,30,29:06,"Extracted from '30 Year' row 70, 2055; scheduled amount $37,496.26"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,14988.3,Allow,30,2:03,"Extracted from '30 Year' row 70, Apr 2028; scheduled amount $16,019.03"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15708.41,Allow,30,30:06,"Extracted from '30 Year' row 70, 2056; scheduled amount $38,696.14"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15017.4,Allow,30,3:03,"Extracted from '30 Year' row 70, Apr 2029; scheduled amount $16,531.63"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,14935.78,Allow,30,4:06,"Extracted from '30 Year' row 70, 2030; scheduled amount $17,060.65"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,14964.78,Allow,30,5:06,"Extracted from '30 Year' row 70, 2031; scheduled amount $17,606.59"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,14993.84,Allow,30,6:06,"Extracted from '30 Year' row 70, 2032; scheduled amount $18,170.00"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15022.96,Allow,30,7:06,"Extracted from '30 Year' row 70, 2033; scheduled amount $18,751.44"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15052.13,Allow,30,8:06,"Extracted from '30 Year' row 70, 2034; scheduled amount $19,351.48"
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",Sloped Roofs,Allow,1,One Time,15081.35,Allow,30,9:06,"Extracted from '30 Year' row 70, 2035; scheduled amount $19,970.73"
Roofing,Shingle,"Roof, Install Fiberglass-reinforced asphalt shingles",Sloped Roofs,Allow,1,One Time,393392.61,Allow,30,10:06,"Extracted from '30 Year' row 69, 2036; scheduled amount $536,558.48"
Roofing,Shingle,"Roof, Install Fiberglass-reinforced asphalt shingles",Sloped Roofs,Allow,1,One Time,316507.58,Allow,30,11:06,"Extracted from '30 Year' row 69, 2037; scheduled amount $444,643.75"
Roofing,Shingle,"Roof, Install Fiberglass-reinforced asphalt shingles",Sloped Roofs,Allow,1,One Time,391163.46,Allow,30,9:06,"Extracted from '30 Year' row 69, 2035; scheduled amount $517,978.72"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,5897.43,Allow,30,0:07,"Extracted from '30 Year' row 71, Aug 2026; scheduled amount $6,000.00"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,610.49,Allow,30,10:06,"Extracted from '30 Year' row 71, 2036; scheduled amount $832.66"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,613.97,Allow,30,11:06,"Extracted from '30 Year' row 71, 2037; scheduled amount $862.53"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,617.46,Allow,30,12:06,"Extracted from '30 Year' row 71, 2038; scheduled amount $893.46"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,620.98,Allow,30,13:06,"Extracted from '30 Year' row 71, 2039; scheduled amount $925.51"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,624.52,Allow,30,14:06,"Extracted from '30 Year' row 71, 2040; scheduled amount $958.71"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,628.08,Allow,30,15:06,"Extracted from '30 Year' row 71, 2041; scheduled amount $993.10"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,631.66,Allow,30,16:06,"Extracted from '30 Year' row 71, 2042; scheduled amount $1,028.72"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,635.26,Allow,30,17:06,"Extracted from '30 Year' row 71, 2043; scheduled amount $1,065.62"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,638.88,Allow,30,18:06,"Extracted from '30 Year' row 71, 2044; scheduled amount $1,103.85"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,642.52,Allow,30,19:06,"Extracted from '30 Year' row 71, 2045; scheduled amount $1,143.44"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,5725.66,Allow,30,1:07,"Extracted from '30 Year' row 71, Aug 2027; scheduled amount $6,000.00"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,646.18,Allow,30,20:06,"Extracted from '30 Year' row 71, 2046; scheduled amount $1,184.45"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,649.87,Allow,30,21:06,"Extracted from '30 Year' row 71, 2047; scheduled amount $1,226.94"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,653.57,Allow,30,22:06,"Extracted from '30 Year' row 71, 2048; scheduled amount $1,270.95"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,657.29,Allow,30,23:06,"Extracted from '30 Year' row 71, 2049; scheduled amount $1,316.54"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,661.04,Allow,30,24:06,"Extracted from '30 Year' row 71, 2050; scheduled amount $1,363.76"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,664.81,Allow,30,25:06,"Extracted from '30 Year' row 71, 2051; scheduled amount $1,412.68"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,668.59,Allow,30,26:06,"Extracted from '30 Year' row 71, 2052; scheduled amount $1,463.35"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,672.4,Allow,30,27:06,"Extracted from '30 Year' row 71, 2053; scheduled amount $1,515.84"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,676.24,Allow,30,28:06,"Extracted from '30 Year' row 71, 2054; scheduled amount $1,570.22"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,680.09,Allow,30,29:06,"Extracted from '30 Year' row 71, 2055; scheduled amount $1,626.54"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,581.92,Allow,30,2:07,"Extracted from '30 Year' row 71, Aug 2028; scheduled amount $628.10"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,683.97,Allow,30,30:06,"Extracted from '30 Year' row 71, 2056; scheduled amount $1,684.88"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,585.24,Allow,30,3:07,"Extracted from '30 Year' row 71, Aug 2029; scheduled amount $650.63"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,590.02,Allow,30,4:06,"Extracted from '30 Year' row 71, 2030; scheduled amount $673.96"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,593.39,Allow,30,5:06,"Extracted from '30 Year' row 71, 2031; scheduled amount $698.14"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,596.77,Allow,30,6:06,"Extracted from '30 Year' row 71, 2032; scheduled amount $723.18"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,600.17,Allow,30,7:06,"Extracted from '30 Year' row 71, 2033; scheduled amount $749.12"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,603.59,Allow,30,8:06,"Extracted from '30 Year' row 71, 2034; scheduled amount $775.99"
Concrete,Major Repairs,"Sidewalks, Replace Concrete",Sidewalks,Allow,1,One Time,607.03,Allow,30,9:06,"Extracted from '30 Year' row 71, 2035; scheduled amount $803.83"
Balconies-Decks-Stairways,Railings,"Stairwell Guardrail, Replace on Unit 420",Balconies,Allow,1,One Time,4139.7,Allow,30,0:05,"Extracted from '30 Year' row 75, Jun 2026; scheduled amount $4,191.00"
Balconies-Decks-Stairways,Structural,"Townhouse Walls, Decks",Balconies,Allow,1,One Time,46832.09,Allow,30,0:10,"Extracted from '30 Year' row 67, Nov 2026; scheduled amount $48,000.00"
Landscape,Fire Safety,"Tree Removal & Grind, 15 Small Trees",Other,Allow,1,One Time,15300.5,Allow,30,0:08,"Extracted from '30 Year' row 74, Sep 2026; scheduled amount $15,605.00"
